,[species_0],[species_1],[species_2],[species_3],[species_4],[species_5],[species_6],[species_7],[species_8],[species_9],[species_10],[species_11],[species_12],[species_13],[species_14],[species_15],[species_16],[species_17],[species_18],[species_19],[species_20],[species_21],[species_22],[species_23],[species_24],[species_25],[species_26],[species_27],[species_28],[species_29],[species_30]
species_0,,108889.80205926803,1.0,0.0017004257312090375,1.0,0.00033419792188800495,1.0,9.914630260597032e-06,1.0,0.0012905930078004207,1.0,0.015701085009504998,0.9999999999999998,0.16441730760404027,1.0,7.81434541464366,1.0,0.5398145389993452,0.9298235584397759,1.0,0.022421954831949795,1.0,0.004332271735675621,1.0,0.00019342095827495307,0.0,0.0,0.0,0.0,0.0,0.0
species_1,1.0,,1.0,0.0017004257312090375,1.0,0.00033419792188800495,1.0,9.914630260597032e-06,1.0,0.0012905930078004207,1.0,0.015701085009504998,0.9999999999999998,0.16441730760404027,1.0,7.81434541464366,1.0,0.5398145389993452,1.0,1.0,0.022421954831949795,1.0,0.004332271735675621,1.0,0.00019342095827495307,0.0,0.0,0.0,0.0,0.0,0.0
species_2,1.1553377527794354e-08,4.361822186102125e-09,,0.0017004257312090375,1.0,0.00033419792188800495,1.0,9.914630260597032e-06,0.1181996730577516,0.00015254767157331673,0.11673837051784876,0.0018329190793743959,0.4104697578188732,0.06748833243346118,2.5284255783887185e-05,0.00019757990823685272,1.2414238362040712e-05,6.70138635491632e-06,6.766923104265829e-11,1.2260950812640915e-08,2.74914755153407e-10,1.2272417346044434e-08,5.316854633534662e-11,0.0733172948746282,1.4181101432968253e-05,0.0,0.0,0.0,0.0,0.0,0.0
species_3,1.1553377527794354e-08,4.361822186102125e-09,1.0,,1.0,0.00033419792188800495,1.0,9.914630260597032e-06,0.1181996730577516,0.00015254767157331673,0.11673837051784876,0.0018329190793743959,0.4104697578188732,0.06748833243346118,2.5284255783887185e-05,0.00019757990823685272,1.2414238362040712e-05,6.70138635491632e-06,6.766923104265829e-11,1.2260950812640915e-08,2.74914755153407e-10,1.2272417346044434e-08,5.316854633534662e-11,0.0733172948746282,1.4181101432968253e-05,0.0,0.0,0.0,0.0,0.0,0.0
species_4,1.1481961190024064e-08,4.334859936213855e-09,0.6096775820186281,0.001036711448205967,,0.00033419792188800495,1.0,9.914630260597032e-06,0.11819967159772936,0.00015254766968858082,0.116738366763061,0.0018329190204183343,0.41046975801665514,0.06748833246598075,2.5285305756741966e-05,0.00019758811308144976,1.241497348000204e-05,6.701783181952968e-06,6.725085622703337e-11,1.2184993400503572e-08,2.7321340505953384e-10,1.21963871237839e-08,5.283827484065085e-11,0.07331729380990694,1.4181101227039016e-05,0.0,0.0,0.0,0.0,0.0,0.0
species_5,1.1481961190024064e-08,4.334859936213855e-09,0.6096775820186281,0.001036711448205967,1.0,,1.0,9.914630260597032e-06,0.11819967159772936,0.00015254766968858082,0.116738366763061,0.0018329190204183343,0.41046975801665514,0.06748833246598075,2.5285305756741966e-05,0.00019758811308144976,1.241497348000204e-05,6.701783181952968e-06,6.725085622703337e-11,1.2184993400503572e-08,2.7321340505953384e-10,1.21963871237839e-08,5.283827484065085e-11,0.07331729380990694,1.4181101227039016e-05,0.0,0.0,0.0,0.0,0.0,0.0
species_6,9.707820213834484e-09,3.6650568874352493e-09,0.015620972257954405,2.6562303172848335e-05,0.015619931653398573,5.2201486993753524e-06,,9.914630260597032e-06,0.04768406172946926,6.154071665029596e-05,0.04735565852055646,0.0007435352201146253,0.01667056384102147,0.002740929222980512,3.78859580537567e-07,2.9605396342768356e-06,1.2997238320240742e-07,7.01609826809973e-08,5.685913621596187e-11,1.0301073728079787e-08,2.3097134710054676e-10,1.03106736488938e-08,4.466884543971553e-11,0.0011468577004393149,2.2182631406899154e-07,0.0,0.0,0.0,0.0,0.0,0.0
species_7,9.707820213834484e-09,3.6650568874352493e-09,0.015620972257954405,2.6562303172848335e-05,0.015619931653398573,5.2201486993753524e-06,1.0,,0.04768406172946926,6.154071665029596e-05,0.04735565852055646,0.0007435352201146253,0.01667056384102147,0.002740929222980512,3.78859580537567e-07,2.9605396342768356e-06,1.2997238320240742e-07,7.01609826809973e-08,5.685913621596187e-11,1.0301073728079787e-08,2.3097134710054676e-10,1.03106736488938e-08,4.466884543971553e-11,0.0011468577004393149,2.2182631406899154e-07,0.0,0.0,0.0,0.0,0.0,0.0
species_8,1.688276499690918e-08,6.373860816166359e-09,11.918839392017722,0.020267101188337525,11.911587557781182,0.003980827808203825,12.039595674097734,0.00011936813958855285,,0.0012905930078004207,1.0,0.015701085009504998,1.0,0.16441730760404027,0.00031362275127481395,0.002450756508367173,0.00010552154777751845,5.6962065670539307e-05,9.88808266256382e-11,1.7913118913544874e-08,4.016474543822553e-10,1.7929800421487093e-08,7.767720334874327e-11,0.8915562485167232,0.0001724456639431924,0.0,0.0,0.0,0.0,0.0,0.0
species_9,1.688276499690918e-08,6.373860816166359e-09,11.918839392017722,0.020267101188337525,11.911587557781182,0.003980827808203825,12.039595674097734,0.00011936813958855285,1.0,,1.0,0.015701085009504998,1.0,0.16441730760404027,0.00031362275127481395,0.002450756508367173,0.00010552154777751845,5.6962065670539307e-05,9.88808266256382e-11,1.7913118913544874e-08,4.016474543822553e-10,1.7929800421487093e-08,7.767720334874327e-11,0.8915562485167232,0.0001724456639431924,0.0,0.0,0.0,0.0,0.0,0.0
