,[species_0],[species_1],[species_2],[species_3],[species_4],[species_5],[species_6],[species_7],[species_8],[species_9],[species_10],[species_11],[species_12],[species_13],[species_14],[species_15],[species_16],[species_17],[species_18],[species_19],[species_20],[species_21],[species_22],[species_23],[species_24],[species_25],[species_26],[species_27],[species_28],[species_29],[species_30]
species_0,,-79999.26531903073,203.7047030265166,-203.70470302648997,40.090352514121214,-40.09035251406264,1.1897438353423255,-1.1897438354014107,773.3577146207124,-773.3577146212336,9275.023079858685,-9275.023079860974,16944.163216778703,-16944.16321677867,106385.82964985263,-106385.82964985252,42068.536852507896,-42068.536852507896,79498.77803152661,2631.628328321866,-2631.6283283218627,517.6300940550922,-517.6300940550645,23.206026461112188,-23.2060264611185,0.0,0.0,0.0,0.0,0.0,0.0
species_1,500.4872875042307,,203.7047030265166,-203.70470302648997,40.090352514121214,-40.09035251406264,1.1897438353423255,-1.1897438354014107,773.3577146207124,-773.3577146212336,9275.023079858685,-9275.023079860974,16944.163216778703,-16944.16321677867,106385.82964985263,-106385.82964985252,42068.536852507896,-42068.536852507896,85498.77803152661,2631.628328321866,-2631.6283283218627,517.6300940550922,-517.6300940550645,23.206026461112188,-23.2060264611185,0.0,0.0,0.0,0.0,0.0,0.0
species_2,-3.393932634783899e-06,-1.8809097057648212e-09,,-203.70470302648997,40.090352514121214,-40.09035251406264,1.1897438353423255,-1.1897438354014107,91.41062902485771,-91.4106290253306,1082.7510808581014,-1082.75108085986,6955.066572034612,-6955.066572034556,2.689886528147326,-2.6898865280024133,0.5222488438885193,-0.5222488436144582,3.3959101225870345e-06,-1.895229797810316e-05,1.8952181562781334e-05,-3.7313877214728564e-06,3.731445758603513e-06,1.7014030849177735,-1.7014030849410724,0.0,0.0,0.0,0.0,0.0,0.0
species_3,-3.393932634783899e-06,-1.8809097057648212e-09,203.7047030265166,,40.090352514121214,-40.09035251406264,1.1897438353423255,-1.1897438354014107,91.41062902485771,-91.4106290253306,1082.7510808581014,-1082.75108085986,6955.066572034612,-6955.066572034556,2.689886528147326,-2.6898865280024133,0.5222488438885193,-0.5222488436144582,3.3959101225870345e-06,-1.895229797810316e-05,1.8952181562781334e-05,-3.7313877214728564e-06,3.731445758603513e-06,1.7014030849177735,-1.7014030849410724,0.0,0.0,0.0,0.0,0.0,0.0
species_4,-3.917608088007303e-06,-2.1711294799035366e-09,-124.19419078702929,124.19419078703503,,-40.09035251406264,1.1897438353423255,-1.1897438354014107,91.41062789573833,-91.41062789594676,1082.7510460323667,-1082.7510460330523,6955.066575385863,-6955.066575385889,2.689998229994671,-2.6899982297685106,0.522279769001519,-0.522279768701992,3.9199100380452965e-06,-2.1855436292147108e-05,2.185551905616497e-05,-4.302855984406051e-06,4.302911596217503e-06,1.7014030602098267,-1.7014030602343457,0.0,0.0,0.0,0.0,0.0,0.0
species_5,-3.917608088007303e-06,-2.1711294799035366e-09,-124.19419078702929,124.19419078703503,40.090352514121214,,1.1897438353423255,-1.1897438354014107,91.41062789573833,-91.41062789594676,1082.7510460323667,-1082.7510460330523,6955.066575385863,-6955.066575385889,2.689998229994671,-2.6899982297685106,0.522279769001519,-0.522279768701992,3.9199100380452965e-06,-2.1855436292147108e-05,2.185551905616497e-05,-4.302855984406051e-06,4.302911596217503e-06,1.7014030602098267,-1.7014030602343457,0.0,0.0,0.0,0.0,0.0,0.0
species_6,-1.9294574163571574e-06,-1.069300870071288e-09,-3.182065514790608,3.1820655146608865,-0.626208566230942,0.6262085663232332,,-1.1897438354014107,36.876837002933904,-36.87683700219107,439.22482573994205,-439.2248257413738,282.4687546379755,-282.4687546378191,-0.040305288688008055,0.04030528880108856,-0.005467746954915734,0.005467746998571481,1.9306777782427767e-06,-1.0779325748444533e-05,1.0779185686260462e-05,-2.1222915620455747e-06,2.122372582865258e-06,-0.026614010142474477,0.026614009979918286,0.0,0.0,0.0,0.0,0.0,0.0
species_7,-1.9294574163571574e-06,-1.069300870071288e-09,-3.182065514790608,3.1820655146608865,-0.626208566230942,0.6262085663232332,1.1897438353423255,,36.876837002933904,-36.87683700219107,439.22482573994205,-439.2248257413738,282.4687546379755,-282.4687546378191,-0.040305288688008055,0.04030528880108856,-0.005467746954915734,0.005467746998571481,1.9306777782427767e-06,-1.0779325748444533e-05,1.0779185686260462e-05,-2.1222915620455747e-06,2.122372582865258e-06,-0.026614010142474477,0.026614009979918286,0.0,0.0,0.0,0.0,0.0,0.0
species_8,-2.413233384383299e-06,-1.3374084247471292e-09,-2427.9236387717165,2427.9236387717247,-477.53974419426766,477.5397441943302,-14.324034733271901,14.324034733118118,,-773.3577146212336,9275.023079858685,-9275.023079860974,16944.163216778703,-16944.16321677867,-33.36501659138594,33.365016591588756,-4.439137121378734,4.439137121575186,2.414592017885297e-06,-1.3476367712428328e-05,1.3476356495327005e-05,-2.6532965951749548e-06,2.6533622682715454e-06,-20.68947789464897,20.689477894542506,0.0,0.0,0.0,0.0,0.0,0.0
species_9,-2.413233384383299e-06,-1.3374084247471292e-09,-2427.9236387717165,2427.9236387717247,-477.53974419426766,477.5397441943302,-14.324034733271901,14.324034733118118,773.3577146207124,,9275.023079858685,-9275.023079860974,16944.163216778703,-16944.16321677867,-33.36501659138594,33.365016591588756,-4.439137121378734,4.439137121575186,2.414592017885297e-06,-1.3476367712428328e-05,1.3476356495327005e-05,-2.6532965951749548e-06,2.6533622682715454e-06,-20.68947789464897,20.689477894542506,0.0,0.0,0.0,0.0,0.0,0.0
species_10,-4.580587519361264e-06,-2.538551147068801e-09,-2427.9236508554172,2427.923650855596,-477.5397465732262,477.53974657337915,-14.324034743675801,14.324034743660981,-1113.8419883327597,1113.8419883328604,,-9275.023079860974,16944.163216778703,-16944.16321677867,-33.36499524154108,33.364995241680845,-4.43913640054355,4.43913640062965,4.583271220326424e-06,-2.5560067797414376e-05,2.556023779713238e-05,-5.032255084339947e-06,5.032386980019509e-06,-20.689478108428517,20.689478108346517,0.0,0.0,0.0,0.0,0.0,0.0
species_11,-4.580587519361264e-06,-2.538551147068801e-09,-2427.9236508554172,2427.923650855596,-477.5397465732262,477.53974657337915,-14.324034743675801,14.324034743660981,-1113.8419883327597,1113.8419883328604,9275.023079858685,,16944.163216778703,-16944.16321677867,-33.36499524154108,33.364995241680845,-4.43913640054355,4.43913640062965,4.583271220326424e-06,-2.5560067797414376e-05,2.556023779713238e-05,-5.032255084339947e-06,5.032386980019509e-06,-20.689478108428517,20.689478108346517,0.0,0.0,0.0,0.0,0.0,0.0
species_12,-3.603890955143166e-06,-1.9972682026766124e-09,-2427.923645418936,2427.923645418964,-477.53974550296607,477.53974550300813,-14.324034761423505,14.324034761394916,-1113.8419821902005,1113.8419821898374,-13199.33512563378,13199.335125630234,,-16944.16321677867,-33.364981168425096,33.364981168546365,-4.439133740115115,4.439133740180599,3.6058020972025884e-06,-2.0123586940220168e-05,2.0123588910792023e-05,-3.961994877954566e-06,3.9620281313546e-06,-20.68947801207696,20.68947801197889,0.0,0.0,0.0,0.0,0.0,0.0
species_13,-3.603890955143166e-06,-1.9972682026766124e-09,-2427.923645418936,2427.923645418964,-477.53974550296607,477.53974550300813,-14.324034761423505,14.324034761394916,-1113.8419821902005,1113.8419821898374,-13199.33512563378,13199.335125630234,16944.163216778703,,-33.364981168425096,33.364981168546365,-4.439133740115115,4.439133740180599,3.6058020972025884e-06,-2.0123586940220168e-05,2.0123588910792023e-05,-3.961994877954566e-06,3.9620281313546e-06,-20.68947801207696,20.68947801197889,0.0,0.0,0.0,0.0,0.0,0.0
species_14,-3.3298540055663275e-06,-1.8453975014764976e-09,0.3333915195709949,-0.33339151960050606,0.06560440981475087,-0.06560440972922757,-0.44226457627934557,0.4422645763018711,-13.708676558849598,13.70867655824016,-157.13646552764325,157.13646552663218,-30.11493726696426,30.114937267069756,,-106385.82964985252,42068.536852507896,-42068.536852507896,3.3319180753702913e-06,-1.8544483888642084e-05,1.8544473277870562e-05,-3.650830535661953e-06,3.650871803984046e-06,0.0027860767297222346,-0.0027860768095706585,0.0,0.0,0.0,0.0,0.0,0.0
species_15,-3.3298540055663275e-06,-1.8453975014764976e-09,0.3333915195709949,-0.33339151960050606,0.06560440981475087,-0.06560440972922757,-0.44226457627934557,0.4422645763018711,-13.708676558849598,13.70867655824016,-157.13646552764325,157.13646552663218,-30.11493726696426,30.114937267069756,106385.82964985263,,42068.536852507896,-42068.536852507896,3.3319180753702913e-06,-1.8544483888642084e-05,1.8544473277870562e-05,-3.650830535661953e-06,3.650871803984046e-06,0.0027860767297222346,-0.0027860768095706585,0.0,0.0,0.0,0.0,0.0,0.0
